x,District,Ports,Boats,Divers,Flag,Ports2,country,unified,Latitude,Longitude,notes,,
Trucial 'Omān.,Rās-al-Khaimah.,Rams.,3,45,Great Britain.,Rams.,UAE,"Rams., UAE",25.8681499,56.0166377,,,
Trucial 'Omān.,Rās-al-Khaimah.,Rās-al-Khaimah Town.,33,707,Great Britain.,Rās-al-Khaimah Town.,UAE,"Rās-al-Khaimah Town., UAE",25.8006926,55.9761994,,,
Trucial 'Omān.,Rās-al-Khaimah.,Jazīrat-al-Hamra.,25,608,Great Britain.,Jazīrat-al-Hamra.,UAE,"Jazīrat-al-Hamra., UAE",25.6967566,55.7911919,,,
Trucial 'Omān.,Umm-al-Qaiwain.,Umm-al-Qaiwain Town.,70,"1,759",Great Britain.,Umm-al-Qaiwain Town.,UAE,"Umm-al-Qaiwain Town., UAE",25.5426324,55.5475348,,,
Trucial 'Omān.,Shārjah.,Hamrīyah.,17,259,Great Britain.,Hamrīyah.,UAE,"Hamrīyah., UAE",25.4533122,55.5191857,,,
Trucial 'Omān.,Ajmān.,Ajmān Town.,40,781,Great Britain.,Ajmān Town.,UAE,"Ajmān Town., UAE",25.4052165,55.5136433,,,
Trucial 'Omān.,Shārjah.,Hairah.,25,405,Great Britain.,Hairah.,UAE,"Hairah., UAE",25.385703,55.419733,,,
Trucial 'Omān.,Shārjah.,Shārjah Town.,183,"3,680",Great Britain.,Shārjah Town.,UAE,"Shārjah Town., UAE",25.3462553,55.4209317,,,
Trucial 'Omān.,Shārjah.,Khān.,74,"1,295",Great Britain.,Khān.,UAE,"Khān., UAE",25.32892,55.3682795,,,
Trucial 'Omān.,Dibai.,Dibai Town.,335,"6,936",Great Britain.,Dibai Town.,UAE,"Dibai Town., UAE",25.2048493,55.2707828,,,
Trucial 'Omān.,Abu Dhabi,Abu Dhabi Town (and minor ports).,410,"5,570",Great Britain.,Abu Dhabi Town (and minor ports).,UAE,"Abu Dhabi Town (and minor ports)., UAE",24.453884,54.3773438,,,
Qatar.,...,Wakrah.,150,"2,550",None.,Wakrah.,Qatar,"Wakrah., Qatar",25.1659314,51.5975524,,,
Qatar.,...,Dōhah.,350,"6,300",None.,Dōhah.,Qatar,"Dōhah., Qatar",25.2854473,51.5310398,,,
